Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,22543.89063,22603.82031,21710,22573.66016,22573.66016,431800000
2020-08-05,22479.7207,22760.86914,22204.60938,22750.24023,22750.24023,302600000
2020-08-12,22747.43945,23338.78906,22670.74023,23051.08008,23051.08008,334600000
2020-08-19,22997.92969,23431.03906,22851.83008,23296.76953,23296.76953,267400000
2020-08-26,23257.05078,23376.13086,22594.78906,23138.07031,23138.07031,339200000
2020-09-02,23261.08984,23580.50977,23086.89063,23274.13086,23274.13086,288800000
2020-09-09,22966.89063,23582.21094,22878.71094,23454.89063,23454.89063,356100000
2020-09-16,23425.23047,23506.44922,23272.23047,23360.30078,23360.30078,206700000
2020-09-23,23245.89063,23622.74023,23039.48047,23539.09961,23539.09961,363000000
2020-09-30,23478.84961,23522.38086,22951.41016,23433.73047,23433.73047,291700000
2020-10-07,23272.44922,23725.58008,23272.44922,23601.7793,23601.7793,256600000
2020-10-14,23545.66016,23707.16016,23382.66992,23567.03906,23567.03906,245400000
2020-10-21,23615.51953,23702.30078,23232.31055,23485.80078,23485.80078,241800000
2020-10-28,23372.60938,23451.0293,22948.4707,23295.48047,23295.48047,271000000
2020-11-04,23619.58008,25279.93945,23505.7793,24905.58984,24905.58984,428600000
2020-11-11,25145.66016,26057.30078,25145.66016,26014.61914,26014.61914,430300000
2020-11-18,25860.55078,26261.7793,25425.58984,26165.58984,26165.58984,296300000
2020-11-25,26468.51953,26852.16016,26255.4707,26787.53906,26787.53906,463100000
2020-12-02,26884.99023,26894.25,26327.08008,26467.08008,26467.08008,328000000
2020-12-09,26526.33984,26870.4707,26520.59961,26687.83984,26687.83984,325200000
2020-12-16,26835.58984,26905.66992,26361.66016,26436.39063,26436.39063,315900000
2020-12-23,26580.42969,27602.51953,26414.74023,27568.15039,27568.15039,247400000
2020-12-30,27559.09961,27602.10938,27042.32031,27158.63086,27158.63086,157100000
2021-01-06,27102.84961,28287.36914,27002.17969,28164.33984,28164.33984,335300000
2021-01-13,28140.09961,28979.5293,28111.53906,28633.46094,28633.46094,337000000
2021-01-20,28798.74023,28846.15039,28402.10938,28546.17969,28546.17969,325200000
2021-01-27,28665.33984,28754.99023,27629.80078,28362.16992,28362.16992,417800000
2021-02-03,28482.71094,29585.75,28325.89063,29505.92969,29505.92969,438800000
2021-02-10,29412.55078,30714.51953,29368.17969,30467.75,30467.75,312500000
2021-02-17,30366.82031,30560.49023,29847.33008,30156.0293,30156.0293,279200000
2021-02-24,30020.10938,30213.2793,28966.00977,29408.16992,29408.16992,375100000
2021-03-03,29482.11914,29604.36914,28308.57031,29027.93945,29027.93945,418900000
2021-03-10,29118.2793,30026.40039,28960.08984,29921.08984,29921.08984,436000000
2021-03-17,29836.83008,30485,28995.91992,28995.91992,28995.91992,456500000
2021-03-24,28765.55078,29578.36914,28379.06055,29432.69922,29432.69922,430300000
2021-03-31,29278.33008,30208.89063,29165.51953,29696.63086,29696.63086,335700000
2021-04-07,29743.48047,30064.34961,29516.41992,29751.60938,29751.60938,294100000
2021-04-14,29718.06055,29808.00977,29014.35938,29100.38086,29100.38086,261500000
2021-04-21,28660.35938,29241.2793,28419.83984,29126.23047,29126.23047,222800000
